algo,n,NMI_mean,NMI_std,Time_mean,Time_std,Iterations_mean,Iterations_std,Time_it_mean,Time_it_std
OtrisymNMF_rdm,1000,0.7364,0.0629,0.51,0.12,18.50,4.35,0.03,0.00
OtrisymNMF_SVCA,1000,0.9544,0.0334,0.27,0.10,7.50,3.06,0.03,0.00
SVCA,1000,0.9615,0.0229,0.03,0.01,1.00,0.00,0.03,0.01
OtrisymNMF_rdm,2000,0.7519,0.0483,1.47,0.38,21.90,5.86,0.07,0.00
OtrisymNMF_SVCA,2000,0.9642,0.0185,0.67,0.22,9.60,3.60,0.06,0.00
SVCA,2000,0.9500,0.0165,0.07,0.01,1.00,0.00,0.07,0.01
OtrisymNMF_rdm,5000,0.7295,0.0332,5.57,1.44,22.50,3.89,0.25,0.04
OtrisymNMF_SVCA,5000,0.9637,0.0242,2.50,0.70,9.10,3.03,0.23,0.02
SVCA,5000,0.9450,0.0137,0.39,0.03,1.00,0.00,0.39,0.03
OtrisymNMF_rdm,10000,0.6769,0.0431,15.54,1.93,24.20,1.93,0.64,0.09
OtrisymNMF_SVCA,10000,0.9705,0.0132,5.92,0.74,7.40,1.51,0.59,0.05
SVCA,10000,0.9386,0.0083,2.02,0.15,1.00,0.00,2.00,0.15
OtrisymNMF_rdm,20000,0.6474,0.0219,46.58,6.99,24.20,3.12,1.92,0.25
OtrisymNMF_SVCA,20000,0.9544,0.0161,20.82,3.60,7.80,1.93,1.86,0.18
SVCA,20000,0.9374,0.0094,5.91,0.43,1.00,0.00,5.89,0.43
OtrisymNMF_rdm,50000,0.6008,0.0329,185.64,35.23,23.30,3.68,7.96,1.06
OtrisymNMF_SVCA,50000,0.9666,0.0067,90.07,14.90,8.10,1.73,6.96,1.16
SVCA,50000,0.9224,0.0075,31.79,0.89,1.00,0.00,31.71,0.88
OtrisymNMF_rdm,100000,0.5758,0.0192,423.51,73.33,20.50,1.58,20.65,4.44
OtrisymNMF_SVCA,100000,0.9644,0.0090,259.64,22.43,7.00,0.82,19.41,4.50
SVCA,100000,0.9173,0.0053,118.03,2.13,1.00,0.00,117.89,2.13
OtrisymNMF_SVCA,1000,0.9705,0.0189,0.67,0.35,7.30,2.41,0.08,0.01
OtrisymNMF_SVCA,1000,0.9674,0.0272,0.86,0.32,7.20,2.94,0.11,0.01
OtrisymNMF_SVCA,5000,0.9636,0.0192,4.44,1.60,9.80,4.08,0.42,0.02
OtrisymNMF_SVCA,10000,0.9653,0.0114,12.53,2.52,9.90,2.13,1.12,0.08
OtrisymNMF_SVCA,1000,0.9570,0.0316,0.69,0.19,6.00,1.83,0.11,0.01
OtrisymNMF_SVCA,1000,0.9613,0.0236,1.38,0.34,8.90,2.69,0.15,0.02
OtrisymNMF_SVCA,1000,0.9545,0.0259,0.70,0.23,6.90,2.69,0.09,0.01
OtrisymNMF_SVCA,1000,0.9637,0.0147,0.25,0.10,6.80,2.39,0.03,0.00
OtrisymNMF_SVCA,10000,0.9559,0.0176,8.16,1.88,9.60,2.72,0.70,0.03
OtrisymNMF_SVCA,1000,0.9582,0.0252,0.26,0.08,7.30,2.95,0.03,0.00
