algo,n,NMI_mean,NMI_std,Time_mean,Time_std,Iterations_mean,Iterations_std,Time_it_mean,Time_it_std
FROST,1000,0.7390,0.0440,0.52,0.08,18.30,2.75,0.03,0.00
FROST_SVCA,1000,0.9618,0.0243,0.30,0.10,8.80,3.85,0.03,0.00
SVCA,1000,0.9573,0.0232,0.02,0.00,1.00,0.00,0.02,0.00
FROST,2000,0.7157,0.0510,1.55,0.28,21.70,4.16,0.07,0.00
FROST_SVCA,2000,0.9564,0.0223,0.83,0.15,9.30,2.00,0.08,0.01
SVCA,2000,0.9509,0.0152,0.08,0.01,1.00,0.00,0.08,0.01
FROST,5000,0.7120,0.0373,6.56,1.37,23.80,5.25,0.28,0.03
FROST_SVCA,5000,0.9588,0.0151,2.78,0.71,8.90,2.77,0.27,0.02
SVCA,5000,0.9451,0.0134,0.36,0.03,1.00,0.00,0.36,0.03
FROST,10000,0.6634,0.0479,18.35,4.04,25.90,5.93,0.71,0.03
FROST_SVCA,10000,0.9710,0.0149,6.97,1.14,7.50,1.58,0.72,0.04
SVCA,10000,0.9419,0.0096,1.57,0.05,1.00,0.00,1.56,0.05
