,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.7506,0.0743,0.722,0.0798,0.6638,0.0967,21.5,3.6,21.47,3.59
KN,0.9308,0.0161,0.9226,0.0184,0.9166,0.0189,63.89,6.76,63.8,6.75
KL_EM,0.9526,0.0144,0.9443,0.0165,0.9451,0.0144,74.86,13.26,74.7,13.2
MHA250k,0.9263,0.0172,0.9155,0.0192,0.9112,0.0171,215.23,3.13,214.87,3.08
FROST_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,8.47,1.32,8.44,1.32
SVCA,0.9992,0.0025,0.9987,0.0042,0.9985,0.0048,2.08,0.03,2.06,0.05
KN_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,23.19,4.1,23.15,4.08
KL_EM_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,26.79,6.63,26.74,6.6
MHA250k_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,253.02,3.4,252.58,3.42
PAH,0.7959,0.0539,0.7784,0.0569,0.7186,0.0609,23.92,0.64,23.88,0.62
